datetime,open,high,low,close,volume
2011-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2016-04-16 00:00:00+00:00,381.5,381.5,381.47,381.47,0.09
2016-04-17 00:00:00+00:00,381.47,381.47,377.87,377.87,0.04
2016-04-18 00:00:00+00:00,377.87,377.87,377.87,377.87,0.0
2016-04-19 00:00:00+00:00,377.87,378.98,377.87,378.98,0.0798828
2016-04-20 00:00:00+00:00,378.98,378.98,378.98,378.98,0.0
2016-04-21 00:00:00+00:00,378.98,378.98,378.98,378.98,0.0
2016-04-22 00:00:00+00:00,378.98,378.98,378.98,378.98,0.0
2016-04-23 00:00:00+00:00,378.98,378.98,378.98,378.98,0.0
2016-04-24 00:00:00+00:00,378.98,378.98,378.98,378.98,0.0
2016-04-25 00:00:00+00:00,378.98,406.0,378.98,406.0,0.1
2016-04-26 00:00:00+00:00,406.0,418.0,406.0,414.87,602.31474728
2016-04-27 00:00:00+00:00,414.87,415.11,393.15,395.08,471.13884637
2016-04-28 00:00:00+00:00,395.08,397.99,387.91,395.6,414.21000171
2016-04-29 00:00:00+00:00,395.6,400.0,393.57,398.99,287.43674377
2016-04-30 00:00:00+00:00,398.99,398.99,393.0,393.81,102.59827621
2016-05-01 00:00:00+00:00,393.81,396.4,393.0,395.83,69.66738645
2016-05-02 00:00:00+00:00,395.83,396.3,382.19,385.77,487.36418729
2016-05-03 00:00:00+00:00,385.77,393.0,382.83,393.0,487.87278473
2016-05-04 00:00:00+00:00,393.0,393.0,386.0,390.33,550.08969154
2016-05-05 00:00:00+00:00,390.33,394.76,390.33,394.08,358.65283672
2016-05-06 00:00:00+00:00,394.08,406.45,393.3,403.14,398.69505497
2016-05-07 00:00:00+00:00,403.14,404.95,401.55,403.1,222.89376526
2016-05-08 00:00:00+00:00,403.1,404.75,400.55,403.45,127.73461031
2016-05-09 00:00:00+00:00,403.45,408.33,400.1,405.86,456.07968277
2016-05-10 00:00:00+00:00,405.86,407.07,394.78,398.01,693.8255729
2016-05-11 00:00:00+00:00,398.01,401.14,395.97,397.5,714.76516072
2016-05-12 00:00:00+00:00,397.5,400.0,393.33,400.0,781.49888183
2016-05-13 00:00:00+00:00,400.0,404.87,397.81,403.91,464.75891233
2016-05-14 00:00:00+00:00,403.91,404.21,401.97,403.29,173.50860747
2016-05-15 00:00:00+00:00,403.29,406.0,401.77,404.8,237.68535885
2016-05-16 00:00:00+00:00,404.8,404.98,399.8,401.15,583.87694938
2016-05-17 00:00:00+00:00,401.1,402.99,400.39,401.72,616.03293525
2016-05-18 00:00:00+00:00,401.72,403.99,400.76,402.05,638.53344883
2016-05-19 00:00:00+00:00,402.05,403.98,388.54,390.25,1073.71006061
2016-05-20 00:00:00+00:00,390.25,397.48,380.0,395.25,719.91572595
2016-05-21 00:00:00+00:00,395.25,396.58,392.0,394.99,283.22778472
2016-05-22 00:00:00+00:00,394.99,395.38,388.6,391.59,261.47384369
2016-05-23 00:00:00+00:00,391.59,394.13,386.0,393.47,617.55253644
2016-05-24 00:00:00+00:00,393.47,400.0,390.5,399.94,563.35403401
2016-05-25 00:00:00+00:00,399.94,403.9,398.52,402.12,511.94095374
2016-05-26 00:00:00+00:00,402.12,403.0,400.11,403.0,741.1189674
2016-05-27 00:00:00+00:00,403.0,434.77,403.0,424.92,968.1148132
2016-05-28 00:00:00+00:00,424.92,480.0,410.0,450.11,962.93705036
2016-05-29 00:00:00+00:00,450.11,485.01,450.0,454.47,1022.45483203
2016-05-30 00:00:00+00:00,452.52,485.0,452.11,476.89,775.00884403
2016-05-31 00:00:00+00:00,476.89,490.0,465.21,474.0,1211.99508115
2016-06-01 00:00:00+00:00,474.0,485.0,471.72,480.98,546.93726819
2016-06-02 00:00:00+00:00,480.98,480.99,475.33,479.72,474.30754285
2016-06-03 00:00:00+00:00,479.72,502.0,477.83,496.2,1117.3504056
2016-06-04 00:00:00+00:00,496.2,512.0,490.0,502.46,326.5985341
2016-06-05 00:00:00+00:00,502.46,510.13,496.93,505.98,214.99478027
2016-06-06 00:00:00+00:00,505.98,515.0,501.85,511.68,402.85040418
2016-06-07 00:00:00+00:00,511.68,520.0,492.02,505.04,653.92576001
2016-06-08 00:00:00+00:00,505.04,515.0,502.64,513.0,561.07721712
2016-06-09 00:00:00+00:00,513.0,514.87,505.9,509.2,331.57998613
2016-06-10 00:00:00+00:00,509.2,516.33,506.54,515.0,430.9218375
2016-06-11 00:00:00+00:00,515.0,544.99,514.8,541.15,929.18766703
2016-06-12 00:00:00+00:00,541.15,609.0,520.0,597.12,1839.15020617
2016-06-13 00:00:00+00:00,597.12,641.0,592.48,623.68,1471.50021369
2016-06-14 00:00:00+00:00,623.7,625.0,595.0,616.99,1263.01335689
2016-06-15 00:00:00+00:00,616.99,619.94,602.0,617.05,690.31310016
2016-06-16 00:00:00+00:00,617.05,690.51,617.05,683.04,1667.63773047
2016-06-17 00:00:00+00:00,683.04,690.36,635.0,669.53,1948.46044483
2016-06-18 00:00:00+00:00,669.53,697.97,659.34,675.21,1111.1298876
2016-06-19 00:00:00+00:00,675.21,685.29,660.05,679.99,357.5290958
2016-06-20 00:00:00+00:00,679.99,679.99,640.0,651.61,783.88164494
2016-06-21 00:00:00+00:00,651.61,654.56,558.0,590.81,1983.6808898
2016-06-22 00:00:00+00:00,590.12,604.22,523.01,537.17,1103.63954863
2016-06-23 00:00:00+00:00,530.05,561.09,490.0,551.97,1896.68815923
2016-06-24 00:00:00+00:00,552.81,629.97,550.74,598.93,1636.6004351
2016-06-25 00:00:00+00:00,598.93,625.84,580.0,603.69,643.30766543
2016-06-26 00:00:00+00:00,603.69,610.0,560.0,567.53,325.65399231
2016-06-27 00:00:00+00:00,567.53,600.0,560.0,600.0,525.43392127
2016-06-28 00:00:00+00:00,601.0,609.82,581.0,588.93,500.98008423
2016-06-29 00:00:00+00:00,587.44,587.44,566.3,575.9,506.00940722
2016-06-30 00:00:00+00:00,575.9,609.87,572.51,606.79,887.77706059
2016-07-01 00:00:00+00:00,606.79,618.99,600.0,613.07,498.57627165
2016-07-02 00:00:00+00:00,613.07,630.03,604.74,627.6,303.15875423
2016-07-03 00:00:00+00:00,629.0,629.82,582.5,594.11,404.9166374
2016-07-04 00:00:00+00:00,594.11,617.0,584.0,615.79,474.78301905
2016-07-05 00:00:00+00:00,615.79,615.79,599.7,609.98,394.76717346
2016-07-06 00:00:00+00:00,609.98,617.0,600.64,611.98,538.02365706
2016-07-07 00:00:00+00:00,611.98,613.0,551.0,580.57,1002.50279747
2016-07-08 00:00:00+00:00,580.57,605.55,577.6,602.65,454.01661332
2016-07-09 00:00:00+00:00,602.65,605.0,571.1,593.71,423.40305588
2016-07-10 00:00:00+00:00,593.71,594.79,582.37,587.9,167.06473944
2016-07-11 00:00:00+00:00,587.9,596.0,584.22,591.0,242.9132626
2016-07-12 00:00:00+00:00,591.0,613.52,584.22,601.99,586.74514793
2016-07-13 00:00:00+00:00,601.99,607.57,591.98,591.98,409.38447183
2016-07-14 00:00:00+00:00,591.98,600.99,590.21,598.67,312.94653007
2016-07-15 00:00:00+00:00,598.67,607.1,595.25,605.7,377.53530585
2016-07-16 00:00:00+00:00,605.7,606.0,598.5,601.03,116.15619809
2016-07-17 00:00:00+00:00,601.03,621.55,601.03,614.0,297.65737237
2016-07-18 00:00:00+00:00,614.0,617.79,605.78,611.18,385.1416908
2016-07-19 00:00:00+00:00,611.18,613.62,607.02,613.21,360.49406847
2016-07-20 00:00:00+00:00,613.21,614.41,602.77,606.0,387.97375068
2016-07-21 00:00:00+00:00,606.0,607.54,599.51,602.67,354.69003462
2016-07-22 00:00:00+00:00,602.67,605.0,590.0,596.02,460.99928843
2016-07-23 00:00:00+00:00,596.02,603.99,592.23,599.99,191.1691281
2016-07-24 00:00:00+00:00,599.99,603.3,594.47,600.07,232.30822908
2016-07-25 00:00:00+00:00,600.07,603.3,593.07,593.99,316.75565196
2016-07-26 00:00:00+00:00,593.99,596.99,584.49,590.0,637.7304447
2016-07-27 00:00:00+00:00,590.0,600.0,588.54,590.29,484.82791888
2016-07-28 00:00:00+00:00,590.29,595.87,588.16,592.97,209.03963035
2016-07-29 00:00:00+00:00,592.97,593.99,587.23,588.9,243.15908699
2016-07-30 00:00:00+00:00,588.9,588.99,582.72,587.18,158.06742641
2016-07-31 00:00:00+00:00,587.18,587.18,555.0,555.93,561.99106218
2016-08-01 00:00:00+00:00,558.36,563.23,535.35,540.59,790.56075255
2016-08-02 00:00:00+00:00,540.59,545.91,424.0,478.65,1650.86393396
2016-08-03 00:00:00+00:00,479.91,520.0,467.28,514.0,1123.39763899
2016-08-04 00:00:00+00:00,514.0,534.7,498.6,523.43,745.25910036
2016-08-05 00:00:00+00:00,523.43,524.92,512.75,523.57,418.61057057
2016-08-06 00:00:00+00:00,523.57,534.94,513.01,532.0,348.89376097
2016-08-07 00:00:00+00:00,532.0,543.9,530.01,537.99,153.43954095
2016-08-08 00:00:00+00:00,537.99,543.0,529.83,535.0,460.7861729
2016-08-09 00:00:00+00:00,535.0,538.55,525.7,526.84,472.64975647
2016-08-10 00:00:00+00:00,526.84,539.0,525.3,533.35,397.27705797
2016-08-11 00:00:00+00:00,533.35,538.0,526.75,530.46,372.29543005
2016-08-12 00:00:00+00:00,530.46,532.33,524.05,524.62,196.37386875
2016-08-13 00:00:00+00:00,524.62,528.99,522.04,525.0,152.39267944
2016-08-14 00:00:00+00:00,525.0,525.5,505.89,510.0,347.67068843
2016-08-15 00:00:00+00:00,510.0,514.0,502.0,509.53,411.38452309
2016-08-16 00:00:00+00:00,509.53,519.99,503.18,514.01,431.12598203
2016-08-17 00:00:00+00:00,514.01,518.17,505.16,509.94,398.94963898
2016-08-18 00:00:00+00:00,508.01,510.91,506.0,508.4,274.17902347
2016-08-19 00:00:00+00:00,508.4,513.7,505.3,509.96,299.49833455
2016-08-20 00:00:00+00:00,509.96,516.16,506.35,516.16,238.9759048
2016-08-21 00:00:00+00:00,516.16,516.6,510.56,510.78,90.55386226
2016-08-22 00:00:00+00:00,515.0,520.41,511.64,516.12,339.80258925
2016-08-23 00:00:00+00:00,516.12,522.21,513.16,514.99,382.35479474
2016-08-24 00:00:00+00:00,514.99,519.4,512.51,515.33,375.39859043
2016-08-25 00:00:00+00:00,515.33,515.33,506.88,511.02,336.50669497
2016-08-26 00:00:00+00:00,511.02,518.36,510.0,516.99,361.47718094
2016-08-27 00:00:00+00:00,516.99,516.99,506.82,509.96,133.00954003
2016-08-28 00:00:00+00:00,509.96,514.71,506.99,512.98,114.63389127
2016-08-29 00:00:00+00:00,512.98,514.5,508.48,512.45,430.38658003
2016-08-30 00:00:00+00:00,512.45,517.99,510.0,517.99,311.84047286
2016-08-31 00:00:00+00:00,517.99,517.99,510.33,513.98,355.43824802
2016-09-01 00:00:00+00:00,513.98,513.98,507.19,510.99,259.734372
2016-09-02 00:00:00+00:00,510.99,515.2,506.81,513.26,326.34922815
2016-09-03 00:00:00+00:00,513.26,537.0,510.89,532.04,375.29969422
2016-09-04 00:00:00+00:00,532.04,545.0,530.69,539.55,155.45681762
2016-09-05 00:00:00+00:00,539.55,540.0,520.0,539.91,362.39974191
2016-09-06 00:00:00+00:00,539.91,548.64,530.14,539.04,395.25606384
2016-09-07 00:00:00+00:00,542.8,548.6,536.94,546.03,387.56456382
2016-09-08 00:00:00+00:00,546.03,559.0,544.21,555.99,423.00199675
2016-09-09 00:00:00+00:00,555.99,555.99,548.23,553.0,271.04526659
2016-09-10 00:00:00+00:00,553.0,558.0,552.64,556.91,120.4237064
2016-09-11 00:00:00+00:00,556.91,558.91,530.05,541.29,377.30832999
2016-09-12 00:00:00+00:00,541.29,543.99,535.12,543.28,332.37623644
2016-09-13 00:00:00+00:00,543.28,546.0,539.04,542.0,340.78744027
2016-09-14 00:00:00+00:00,542.0,544.99,541.95,543.98,217.61488928
2016-09-15 00:00:00+00:00,543.98,544.99,539.0,542.98,308.76986717
2016-09-16 00:00:00+00:00,542.98,544.85,539.41,544.79,195.62067287
2016-09-17 00:00:00+00:00,544.79,544.79,539.7,544.5,114.63160856
2016-09-18 00:00:00+00:00,544.5,548.31,541.8,542.66,173.25912449
2016-09-19 00:00:00+00:00,542.66,545.99,540.13,544.96,184.22327292
2016-09-20 00:00:00+00:00,544.96,545.5,536.0,539.01,364.38811821
2016-09-21 00:00:00+00:00,536.02,540.33,531.27,533.99,482.51985547
2016-09-22 00:00:00+00:00,533.99,534.44,530.0,530.06,322.25219513
2016-09-23 00:00:00+00:00,530.06,539.16,530.06,535.75,245.5976354
2016-09-24 00:00:00+00:00,535.75,541.87,535.75,539.49,143.33243964
2016-09-25 00:00:00+00:00,539.49,539.5,533.37,536.0,134.523189
2016-09-26 00:00:00+00:00,536.0,540.0,533.46,540.0,457.92979628
2016-09-27 00:00:00+00:00,538.01,541.86,537.3,541.4,528.78346294
2016-09-28 00:00:00+00:00,541.4,543.99,538.0,540.0,316.0397691
2016-09-29 00:00:00+00:00,540.0,543.98,537.84,540.0,292.16988038
2016-09-30 00:00:00+00:00,540.0,550.0,540.0,545.99,456.20076036
2016-10-01 00:00:00+00:00,545.99,551.75,544.21,549.8,221.97715814
2016-10-02 00:00:00+00:00,549.8,552.0,542.37,543.94,359.20646982
2016-10-03 00:00:00+00:00,543.94,551.0,543.65,547.9,289.96019799
2016-10-04 00:00:00+00:00,547.9,551.99,544.37,546.99,493.23954614
2016-10-05 00:00:00+00:00,546.99,554.99,544.0,550.86,406.787544
2016-10-06 00:00:00+00:00,550.86,554.97,547.11,549.03,433.86203284
2016-10-07 00:00:00+00:00,549.03,562.0,549.03,553.2,500.22940309
2016-10-08 00:00:00+00:00,553.2,560.42,552.89,556.0,212.57468404
2016-10-09 00:00:00+00:00,556.0,557.51,551.18,553.97,63.92147923
